GunMountID,MountCaliber,GunMountName,GunMountNation,GunMountType,GunID,NumberOfGuns,MaxElevation,MountSource
356-ag-41st-year-bc,356,36cm/45 41st Year Type (BC),japan,Armored Gunhouse,356-bg-41st-year,2,25,http://www.navweaps.com/Weapons/WNJAP_14-45_t41.php
356-ag-41st-year-bb-43,356,36cm/45 41st Year Type (BB),japan,Armored Gunhouse,356-bg-41st-year,2,43,http://www.navweaps.com/Weapons/WNJAP_14-45_t41.php
356-ag-41st-year-bb-30,356,36cm/45 41st Year Type (BB),japan,Armored Gunhouse,356-bg-41st-year,2,30,http://www.navweaps.com/Weapons/WNJAP_14-45_t41.php
356-ag-41st-year-bb,356,36cm/45 41st Year Type (BB),japan,Armored Gunhouse,356-bg-41st-year,2,25,http://www.navweaps.com/Weapons/WNJAP_14-45_t41.php
355-ag-drh-lc1914,355,35cm/42 Drh L. C/1914,germany,Armored Gunhouse,355-bg-sk-l45,2,16,http://www.navweaps.com/Weapons/WNGER_14-45_skc14.php
343-ag-markii-l,343,"13.5""/45 Mark II (L)",britain,Armored Gunhouse,343-bg-markv-l,2,20,http://www.navweaps.com/Weapons/WNBR_135-45_mk5.php
343-ag-markii**,343,"13.5""/45 Mark II**",britain,Armored Gunhouse,343-bg-markv-h,2,20,http://www.navweaps.com/Weapons/WNBR_135-45_mk5.php
343-ag-markii,343,"13.5""/45 Mark II",britain,Armored Gunhouse,343-bg-markv-h,2,20,http://www.navweaps.com/Weapons/WNBR_135-45_mk5.php
343-ct-marki,343,"13.5""/30 Mark I Turret",britain,Coles Turret,343-bg-marki,2,13.5,http://www.navweaps.com/Weapons/WNBR_135-30_mk1.php
343-bar-marki,343,"13.5""/30 Mark I Barbette",britain,Barbette,343-bg-marki,2,13.5,http://www.navweaps.com/Weapons/WNBR_135-30_mk1.php
343-ag-special,343,"13.5""/45 ""Special""",britain,Armored Gunhouse,343-bg-bl-markvi,2,20,http://www.navweaps.com/Weapons/WNBR_135-45_mk6.php
340-ag-m1912-quad,340,340mm/45 Model 1912 Quad,france,Armored Gunhouse,340-bg-m1912,4,15,http://www.navweaps.com/Weapons/WNFR_134-45_m1912.php
340-ag-m1912-double-1924,340,340mm/45 Model 1912 Double (1924),france,Armored Gunhouse,340-bg-m1912,2,23,http://www.navweaps.com/Weapons/WNFR_134-45_m1912.php
340-ag-m1912-double-1919,340,340mm/45 Model 1912 Double (1919),france,Armored Gunhouse,340-bg-m1912,2,18,http://www.navweaps.com/Weapons/WNFR_134-45_m1912.php
340-ag-m1912-double,340,340mm/45 Model 1912 Double,france,Armored Gunhouse,340-bg-m1912,2,12,http://www.navweaps.com/Weapons/WNFR_134-45_m1912.php
340-ct-m1887-twin,340,340mm/42 Model 1887 Twin Turret,france,Coles Turret,340-bg-m1887,2,10,https://en.wikipedia.org/wiki/Canon_de_340_mm_Mod%C3%A8le_1887_gun
340-ct-m1887-single,340,340mm/42 Model 1887 Single Turret,france,Coles Turret,340-bg-m1887,1,10,https://en.wikipedia.org/wiki/Canon_de_340_mm_Mod%C3%A8le_1887_gun
340-ct-m1884,340,340mm/29 Model 1884,france,Coles Turret,340-bg-m1884,1,,https://en.wikipedia.org/wiki/340mm/28_Mod%C3%A8le_1881_gun
340-bar-m1884,340,340mm/29 Model 1884,france,Barbette,340-bg-m1884,1,,https://en.wikipedia.org/wiki/340mm/28_Mod%C3%A8le_1881_gun
340-c-m1881,340,340mm/21 Model 1881,france,Pivot (Casement),340-bg-m1881,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
340-bar-m1881,340,340mm/21 Model 1881,france,Barbette,340-bg-m1881,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
340-c-m1875,340,340mm/18 Model 1875,france,Pivot (Casement),340-bg-m1875,1,,http://www.navypedia.org/ships/france/fr_bb_courbet82.htm
340-bar-m1875,340,340mm/18 Model 1875,france,Barbette,340-bg-m1875,1,,https://en.wikipedia.org/wiki/French_ironclad_Amiral_Duperr%C3%A9#Characteristics
330-ag-2-mk4,330,"13""/35 2-Gun Turret",usa,Armored Gunhouse,330-bg-mk1,2,15,http://www.navweaps.com/Weapons/WNUS_13-35_mk1.php#Mount%2FTurret_Data
330-ag-2-mk3,330,"13""/35 2-Gun Turret",usa,Armored Gunhouse,330-bg-mk1,2,15,http://www.navweaps.com/Weapons/WNUS_13-35_mk1.php#Mount%2FTurret_Data
330-ag-2-mk2,330,"13""/35 2-Gun Turret",usa,Armored Gunhouse,330-bg-mk1,2,15,http://www.navweaps.com/Weapons/WNUS_13-35_mk1.php#Mount%2FTurret_Data
330-ag-m1932,330,330mm/50 St Chamond Model 1932,france,Armored Gunhouse,330-bg-m1931,4,35,http://www.navweaps.com/Weapons/WNFR_13-50_m1931.php
320-ag-m1934-tripple,320,320mm/44 Model 1934 Tripple Turret,italy,Armored Gunhouse,320-bg-m1934,3,20,http://www.navweaps.com/Weapons/WNIT_126-44_m1934.php#Mount%2FTurret_Data
320-ag-m1934-twin,320,320mm/44 Model 1934 Twin Turret,italy,Armored Gunhouse,320-bg-m1934,2,20,http://www.navweaps.com/Weapons/WNIT_126-44_m1934.php#Mount%2FTurret_Data
320-c-m1870-81,320,320mm/25 Model 1870-81,france,Pivot (Casement),320-bg-m1870-81,1,,
318-ct-rml-38ton-marki,318,"12.5""/ RML 38-ton Mark I",britain,Coles Turret,318-ml-rml-38ton-marki,2,,https://en.wikipedia.org/wiki/RML_12.5-inch_38-ton_gun
305-ct-rml-38ton,305,"12""/17 RML 38-ton",britain,Coles Turret,305-ml-rml-38ton,2,,https://en.wikipedia.org/wiki/RML_12-inch_35-ton_gun
305-ct-rml-35ton,305,"12""/12 RML 35-ton",britain,Coles Turret,305-ml-rml-35ton,2,,https://en.wikipedia.org/wiki/RML_12-inch_35-ton_gun
305-ct-rml-25ton-marki,305,"12""/12 RML 25-ton Mark I",britain,Coles Turret,305-ml-rml-25ton-marki,2,,https://en.wikipedia.org/wiki/RML_12-inch_25-ton_gun
305-c-rml-25ton-marki,305,"12""/12 RML 25-ton Mark I",britain,Pivot (Casement),305-ml-rml-25ton-marki,1,,https://en.wikipedia.org/wiki/RML_12-inch_25-ton_gun
305-ag-vsm-markh,305,30.5cm/50 VSM Mark H Twin Turret,spain,Armored Gunhouse,305-bg-vsm-markh,2,15,http://www.navweaps.com/Weapons/WNSpain_12-50_vsm.php
305-ag-v1909-tripple,305,305mm/46 Model 1909 Tripple Turret,italy,Armored Gunhouse,305-bg-v1909,3,20,http://www.navweaps.com/Weapons/WNIT_12-46_m1909.php
305-ag-v1909-twin,305,305mm/46 Model 1909 Twin Turret,italy,Armored Gunhouse,305-bg-v1909,2,20,http://www.navweaps.com/Weapons/WNIT_12-46_m1909.php
305-ag-cm-31,305,305mm/62 CM-31,russia,Armored Gunhouse,305-bg-sm33-p1948,3,50,http://www.navweaps.com/Weapons/WNRussian_12-62_m1948.php
305-ag-drh-lc1915,305,30.5cm/47 Drh L. C/1915,germany,Armored Gunhouse,305-bg-sk-l50,2,16,http://www.navweaps.com/Weapons/WNGER_12-50_skc12.php
305-ag-drh-lc1908,305,30.5cm/47 Drh L. C/1908,germany,Armored Gunhouse,305-bg-sk-l50,2,13.5,http://www.navweaps.com/Weapons/WNGER_12-50_skc12.php
305-ag-mk-3-12-alt,305,305mm/47 MK-3-12 (up armored),russia,Armored Gunhouse,305-bg-p1907,3,25,http://www.navweaps.com/Weapons/WNRussian_12-52_m1907.php
305-ag-mk-3-12,305,305mm/47 MK-3-12,russia,Armored Gunhouse,305-bg-p1907,3,25,http://www.navweaps.com/Weapons/WNRussian_12-52_m1907.php
305-ag-p1895-early,305,"12""/40 Pattern 1895",russia,Armored Gunhouse,305-bg-p1895-early,2,15,http://www.navweaps.com/Weapons/WNRussian_12-40_m1895.php
305-ag-p1895,305,305mm/40 Pattern 1895,russia,Armored Gunhouse,305-bg-p1895,2,15,http://www.navweaps.com/Weapons/WNRussian_12-40_m1895.php
305-ag-3gun-turret,305,"12""/50 3-Gun Turret",usa,Armored Gunhouse,305-bg-mk8,3,41,http://www.navweaps.com/Weapons/WNUS_12-50_mk8.php#Mount%2FTurret_Data
305-ag-mk9,305,"12""/50 2-Gun Turret",usa,Armored Gunhouse,305-bg-mk7,2,15,http://www.navweaps.com/Weapons/WNUS_12-50_mk7.php
305-ag-mk8,305,"12""/45 2-Gun Turret",usa,Armored Gunhouse,305-bg-mk5,2,15,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ag-mk7,305,"12""/45 2-Gun Turret",usa,Armored Gunhouse,305-bg-mk5,2,15,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ag-mk6,305,"12""/45 2-Gun Turret",usa,Armored Gunhouse,305-bg-mk5,2,15,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ag-mk5,305,Dual-Caliber Mark 5,usa,Armored Gunhouse,305-bg-mk3,2,20,http://www.navweaps.com/Weapons/WNUS_12-40_mk3.php
305-ag-mk4,305,"12""/40 2-Gun Turret",usa,Armored Gunhouse,305-bg-mk3,2,15,http://www.navweaps.com/Weapons/WNUS_12-40_mk3.php
305-ag-mk3,305,"12""/35 2-Gun Turret",usa,Armored Gunhouse,305-bg-mk1,2,14,http://www.navweaps.com/Weapons/WNUS_12-35_mk1.php
305-ag-mk2,305,"12""/35 1-Gun Turret",usa,Armored Gunhouse,305-bg-mk1,1,15,http://www.navweaps.com/Weapons/WNUS_12-35_mk1.php
305-ag-special,305,"12""/45 ""Special""",britain,Armored Gunhouse,305-bg-markxiii,2,13.5,http://www.navweaps.com/Weapons/WNBR_12-45_mk13.php
