Namesake,NamingCategory_1,NamingCategory_2,NamingSource
"Bucareli Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Bucareli_Bay
"Casco Bay, Maine, US",Geographical,Bay,https://en.wikipedia.org/wiki/Casco_Bay
"Chapin Bay, Alaska, US",Geographical,Bay,
"Chatham Harbor, Massachusetts, US",Geographical,Bay,"https://en.wikipedia.org/wiki/Chatham,_Massachusetts"
"Chincoteague Bay, Maryland, US",Geographical,Bay,https://en.wikipedia.org/wiki/Chincoteague_Bay
"Commencement Bay, Washington, US",Geographical,Bay,https://en.wikipedia.org/wiki/Commencement_Bay
"Cook Inlet, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Cook_Inlet
"Coos Bay, Oregon, US",Geographical,Bay,https://en.wikipedia.org/wiki/Coos_Bay
"Cordova Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Cordova_Bay
"Corpus Christi Bay, Texas, US",Geographical,Bay,https://en.wikipedia.org/wiki/Corpus_Christi_Bay
"Didrickson Bay, Alaska, US",Geographical,Bay,
"Dolomi Bay, Alaska, US",Geographical,Bay,
"Duxbury Bay, Massachusetts, US",Geographical,Bay,https://en.wikipedia.org/wiki/Duxbury_Bay_(Massachusetts)
"Elbow Bay, New York, US",Geographical,Bay,
"Fanshaw Bay, Alaska, US",Geographical,Bay,
"Floyds Bay, Virginia, US",Geographical,Bay,https://en.wikipedia.org/wiki/Burtons_Bay
"Fortaleza Bay, Alaska, US",Geographical,Bay,
"Frosty Bay, Alaska, US",Geographical,Bay,
"Gambier Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Admiralty_Island
"Gardiners Bay, New York, US",Geographical,Bay,https://en.wikipedia.org/wiki/Gardiners_Bay
"Glacier Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Glacier_Bay_Basin
"Greenwich Bay, Rhode Island, US",Geographical,Bay,https://en.wikipedia.org/wiki/Greenwich_Bay_(Rhode_Island)
"Half Moon Bay, California, US",Geographical,Bay,"https://en.wikipedia.org/wiki/Half_Moon_Bay,_California"
"Hobart Bay, Alaska, US",Geographical,Bay,"https://en.wikipedia.org/wiki/Hobart_Bay,_Alaska"
"Hoggatt Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Baranof_Island
"Humboldt Bay, California, US",Geographical,Bay,https://en.wikipedia.org/wiki/Humboldt_Bay
"Kadashan Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Kadashan_Bay
