FittingID,BatteryID,AmmoID,BatteryRole,BatteryIndex
bb_south_dakota|south_dakota_1943,127-ag-mk28_x8,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|south_dakota_1943,40-t-mk2_x17-sd,40-he-mk1,AA Battery,3
bb_south_dakota|south_dakota_1943,20-p-mk6_x77,20-he-mk3,AA Battery,4
bb_south_dakota|south_dakota_1946,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|south_dakota_1946,127-ag-mk28_x8,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|south_dakota_1946,40-t-mk2_x16-sd,40-he-mk1,AA Battery,3
bb_south_dakota|indiana,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|indiana,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|indiana,40-t-mk2_x6,40-he-mk1,AA Battery,3
bb_south_dakota|indiana,20-p-mk6_x36,20-he-mk3,AA Battery,4
bb_south_dakota|indiana_1942,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|indiana_1942,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|indiana_1942,40-t-mk2_x6,40-he-mk1,AA Battery,3
bb_south_dakota|indiana_1942,20-p-mk6_x52-sd,20-he-mk3,AA Battery,4
bb_south_dakota|indiana_1943,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|indiana_1943,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|indiana_1943,40-t-mk2_x10-sd,40-he-mk1,AA Battery,3
bb_south_dakota|indiana_1943,20-p-mk6_x44-sd,20-he-mk3,AA Battery,4
bb_south_dakota|indiana_1944_4,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|indiana_1944_4,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|indiana_1944_4,40-t-mk2_x12-sd,40-he-mk1,AA Battery,3
bb_south_dakota|indiana_1944_4,20-p-mk6_x45-sd,20-he-mk3,AA Battery,4
bb_south_dakota|indiana_1944_11,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|indiana_1944_11,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|indiana_1944_11,40-t-mk2_x12-sd,40-he-mk1,AA Battery,3
bb_south_dakota|indiana_1944_11,20-p-mk24_x4,20-he-mk3,AA Battery,4
bb_south_dakota|indiana_1944_11,20-p-mk6_x44-sd,20-he-mk3,AA Battery,4
bb_south_dakota|indiana_1946,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|indiana_1946,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|indiana_1946,40-t-mk2_x12-sd,40-he-mk1,AA Battery,3
bb_south_dakota|massachusetts,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|massachusetts,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|massachusetts,40-t-mk2_x6,40-he-mk1,AA Battery,3
bb_south_dakota|massachusetts,20-p-mk6_x35,20-he-mk3,AA Battery,4
bb_south_dakota|massachusetts_1943,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|massachusetts_1943,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|massachusetts_1943,40-t-mk2_x12-sd,40-he-mk1,AA Battery,3
bb_south_dakota|massachusetts_1943,20-p-mk6_x42-sd,20-he-mk3,AA Battery,4
bb_south_dakota|massachusetts_1944,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|massachusetts_1944,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|massachusetts_1944,40-t-mk2_x16-sd-2,40-he-mk1,AA Battery,3
bb_south_dakota|massachusetts_1944,20-p-mk6_x32-sd,20-he-mk3,AA Battery,4
bb_south_dakota|massachusetts_1945,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|massachusetts_1945,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|massachusetts_1945,40-t-mk2_x13-sd,40-he-mk1,AA Battery,3
bb_south_dakota|massachusetts_1945,20-p-mk6_x32-sd,20-he-mk3,AA Battery,4
bb_south_dakota|alabama,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|alabama,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|alabama,40-t-mk2_x6,40-he-mk1,AA Battery,3
bb_south_dakota|alabama,20-p-mk6_x39-sd,20-he-mk3,AA Battery,4
bb_south_dakota|alabama_1943,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|alabama_1943,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|alabama_1943,40-t-mk2_x12-sd,40-he-mk1,AA Battery,3
