AmmoID,AmmoName,AmmoNation,AmmoCaliber,SurfaceShellWeight,SurfaceShellCharge,SurfaceShellChargeType,AAShellWeight,AAShellCharge,AAShellChargeType,AmmoSource
37-he-rus-early,37mm HE (Early),russia,37,0.51,0.02,,0.51,0.02,,http://www.navweaps.com/Weapons/WNRussian_37mm_Hotchkiss.php
37-he-iron,37mm Iron HE,russia,37,0.45,0.017,,0.45,0.017,,http://www.navweaps.com/Weapons/WNRussian_37mm-30_maxim.php#Ammunition
25-frag-ozr-85,25mm FRAG OZR-85,russia,25,0.28,0.01,,0.28,0.01,,http://www.navweaps.com/Weapons/WNRussian_25mm-79_2m-3.php
12-b-rus,12.7mm Russian,russia,12,0.05,0,,0.05,0,,https://en.wikipedia.org/wiki/12.7%C3%97108mm
120-ap-spain,120mm AP (Spain),spain,120,24,,,0,0,,https://en.wikipedia.org/wiki/Gonzalez_Hontoria_de_12_cm_mod_1883
57-ap-nord,57mm AP Nordenfelt,sweden,57,2.9,0,,0,0,,https://en.wikipedia.org/wiki/QF_6-pounder_Nordenfelt
8-b-uknown,8mm Unknown,unknown,8,0.01,0,None,0.01,0,None,
7-b-uknown,7.7mm Unknown,unknown,7.7,0.01,0,None,0.01,0,None,
7-b-uknown-30,7.6mm Unknown,unknown,7.6,0.01,0,None,0.01,0,None,
406-ap-mk8,AP Mark 8 (Super Heavy),usa,406,1225,18.55,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_16-50_mk7.php
406-ap-mk5,AP Mark 5,usa,406,1016,15.2,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_16-45_mk5.php
406-ap-mk3-mod2,AP Mark 3 Mod 2,usa,406,957,26.1,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_16-45_mk1.php
406-ap-mk3,"Navy 16"" AP Mark 3",usa,406,957,26.1,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_16-50_mk2.php
